Juanjo,current category,time,correct
subject ID,current category,time,correct
subject ID,current category,time,correct
subject ID,current category,time,correct
subject ID,current category,time,correct
subject ID,current category,time,correct
subject ID,current category,time,correct
subject ID,current category,time,correct
subject ID,current category,time,correct
subject ID,current category,time,correct
subject ID,current category,time,correct
subject ID,current category,time,correct
subject ID,current category,current stimulus,time
subject ID,current category,current stimulus,time
subject ID,current category,current stimulus,time
subject ID,current category,current stimulus,time
subject ID,current category,current stimulus,time
subject ID,current part,current category,current stimulus,time,correct
Juanjo,1,Men,3,0.76,True
Juanjo,1,Men,1,0.8199999,True
Juanjo,1,Men,1,0.7399998,True
Juanjo,2,Bad,0,1.84,True
Juanjo,2,Men,1,2.82,True
Juanjo,2,Good,1,0.9200001,True
Juanjo,2,Good,3,0.9399996,True
subject ID,current part,current category,current stimulus,time,correct
Juanjo,1,Men,1,0.84,True
Juanjo,1,Men,2,0.8,False
Juanjo,1,Men,2,0.8000002,True
Juanjo,1,Women,1,2.6,True
Juanjo,2,Good,1,1.44,False
Juanjo,2,Women,3,2.44,False
Juanjo,2,Bad,2,0.9000006,True
Juanjo,2,Good,2,0.6999998,False
Juanjo,2,Good,2,0.6000004,True
Juanjo,2,Bad,0,1.78,True
Juanjo,3,Good,3,1.76,True
Juanjo,3,Bad,1,2.419999,True
Juanjo,3,Good,0,0.7800007,True
Juanjo,3,Bad,1,0.8600006,False
Juanjo,3,Good,1,0.7999992,True
Juanjo,4,Bad,3,1.26,True
Juanjo,4,Bad,0,1.900002,True
Juanjo,4,Bad,1,0.960001,True
Juanjo,4,Women,2,0.9599991,True
Juanjo,4,Women,0,0.6999989,True
Juanjo,4,Good,0,0.8999996,True
Juanjo,4,Good,3,0.7399998,True
